weather_station_id,data,TMAX,TMIN,PRCP
MX000017004,2010-01-30,27.8,14.5,0.0
MX000017004,2010-02-02,27.3,14.4,0.0
MX000017004,2010-02-03,24.1,14.4,0.0
MX000017004,2010-02-11,29.7,13.4,0.0
MX000017004,2010-02-23,29.9,10.7,0.0
MX000017004,2010-03-05,32.1,14.2,0.0
MX000017004,2010-03-10,34.5,16.8,0.0
MX000017004,2010-03-16,31.1,17.6,0.0
MX000017004,2010-04-27,36.3,16.7,0.0
MX000017004,2010-05-27,33.2,18.2,0.0
MX000017004,2010-06-17,28.0,17.5,0.0
MX000017004,2010-06-29,30.1,18.0,0.0
MX000017004,2010-07-03,28.6,17.5,30.7
MX000017004,2010-07-14,29.9,16.5,0.0
MX000017004,2010-08-05,29.6,15.8,3.8
MX000017004,2010-08-08,29.0,17.3,23.9
MX000017004,2010-08-13,29.8,16.5,16.8
MX000017004,2010-08-23,26.4,15.0,0.0
MX000017004,2010-08-25,29.7,15.6,0.0
MX000017004,2010-08-29,28.0,15.3,18.8
MX000017004,2010-08-31,25.4,15.4,0.0
MX000017004,2010-09-05,0.0,27.0,14.0
MX000017004,2010-09-07,0.0,28.1,12.9
MX000017004,2010-09-14,11.9,29.5,13.0
MX000017004,2010-09-15,0.0,28.7,10.5
MX000017004,2010-09-28,0.0,31.2,15.0
MX000017004,2010-10-02,0.0,31.3,16.3
MX000017004,2010-10-04,0.0,27.2,12.0
MX000017004,2010-10-05,0.0,26.3,7.9
MX000017004,2010-10-26,0.0,28.1,12.1
MX000017004,2010-10-27,0.0,27.7,14.2
MX000017004,2010-11-01,0.0,29.9,13.8
MX000017004,2010-11-06,0.0,27.8,10.5
